Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Zvörak,11304,,,source:TOW,,,,,,,,,,,,
Myrmidens,23812,,,source:TOW,,,,,,,,,,,,
Vardanos,1412,,,source:TOW,,,,,,,,,,,,
Kasos,2355,,,source:TOW,,,,,,,,,,,,
Thessos,3102,,,source:TOW,,,,,,,,,,,,
Vernissi,,,,source:TOW,,,,,,,,,,,,
Matorca,1201,,,source:TOW,,,,,,,,,,,,
Khypris,3192,,,source:TOW,,,,,,,,,,,,
Malko,,,,source:TOW,,,,,,,,,,,,
Brovska,,,,source:TOW,,,,,,,,,,,,
Munzig,,,,source:TOW,,,,,,,,,,,,
Styratia,,,,source:TOW,,,,,,,,,,,,
Akendorf,4311,,,source:TOW,,,,,,,,,,,,
Klossi,,,,source:TOW,,,,,,,,,,,,
Zenres,,,,source:TOW,,,,,,,,,,,,
Aldium,,,,source:TOW,,,,,,,,,,,,
Mirstadt,,,,source:TOW,,,,,,,,,,,,
Ulfraya,,,,source:TOW,,,,,,,,,,,,
Lakoras,877,,,source:1eDSaS,,,,,,,,,,,,
Achaes,,,,source:1eDSaS,,,,,,,,,,,,
Mortensholm,,,,source:1eDSaS,,,,,,,,,,,,
Brasov,,,,source:1eDSaS,,,,,,,,,,,,
Somjek,,,,source:1eDSaS,,,,,,,,,,,,
Moslac,,,,source:1eDSaS,,,,,,,,,,,,
Vidovdan,,,,source:1eDSaS,,,,,,,,,,,,
Elsterholz,,,,,,,,,,,,,,,,
Brezano,,,,,,,,,,,,,,,,
Vitrolle,655,,,source:2eLotLL,,,,,,,,,,,,
Fatanbad,,,,source:2eLotLL,,,,,,,,,,,,
Alfori,,,,,,,,,,,,,,,,
Alvazzo,,,,,,,,,,,,,,,,
Argalis,489,,,,,,,,,,,,,,,
Bechtersmoln,,,,,,,,,,,,,,,,
Catinari,,,,,,,,,,,,,,,,
Greymere,,,,,,,,,,,,,,,,
Lissa,,,,,,,,,,,,,,,,
Maltane,,,,,,,,,,,,,,,,
Mirasino,,,,,,,,,,,,,,,,
Organza Nova,,,,,,,,,,,,,,,,
Scarosio,,,,,,,,,,,,,,,,
Schipdorf,,,,,,,,,,,,,,,,
Tinea,,,,,,,,,,,,,,,,
Vlent,,,,,,,,,,,,,,,,
